Date,Start Time (ET),Visitor,Visitor Points,Home,Home Points,Box Score,Overtime,Attendance,Arena,Notes
2022-10-18,7:30p,Philadelphia 76ers,117,Boston Celtics,126,https://www.basketball-reference.com//boxscores/202210180BOS.html,,"19,156",TD Garden,
2022-10-18,10:00p,Los Angeles Lakers,109,Golden State Warriors,123,https://www.basketball-reference.com//boxscores/202210180GSW.html,,"18,064",Chase Center,
2022-10-19,7:00p,Orlando Magic,109,Detroit Pistons,113,https://www.basketball-reference.com//boxscores/202210190DET.html,,"20,190",Little Caesars Arena,
2022-10-19,7:00p,Washington Wizards,114,Indiana Pacers,107,https://www.basketball-reference.com//boxscores/202210190IND.html,,"15,027",Gainbridge Fieldhouse,
2022-10-19,7:30p,Houston Rockets,107,Atlanta Hawks,117,https://www.basketball-reference.com//boxscores/202210190ATL.html,,"17,878",State Farm Arena,
2022-10-19,7:30p,New Orleans Pelicans,130,Brooklyn Nets,108,https://www.basketball-reference.com//boxscores/202210190BRK.html,,"18,003",Barclays Center,
2022-10-19,7:30p,New York Knicks,112,Memphis Grizzlies,115,https://www.basketball-reference.com//boxscores/202210190MEM.html,OT,"18,202",FedEx Forum,
2022-10-19,7:30p,Chicago Bulls,116,Miami Heat,108,https://www.basketball-reference.com//boxscores/202210190MIA.html,,"19,600",Kaseya Center,
2022-10-19,7:30p,Cleveland Cavaliers,105,Toronto Raptors,108,https://www.basketball-reference.com//boxscores/202210190TOR.html,,"19,800",Scotiabank Arena,
2022-10-19,8:00p,Oklahoma City Thunder,108,Minnesota Timberwolves,115,https://www.basketball-reference.com//boxscores/202210190MIN.html,,"17,136",Target Center,
2022-10-19,8:00p,Charlotte Hornets,129,San Antonio Spurs,102,https://www.basketball-reference.com//boxscores/202210190SAS.html,,"16,236",AT&T Center,
2022-10-19,9:00p,Denver Nuggets,102,Utah Jazz,123,https://www.basketball-reference.com//boxscores/202210190UTA.html,,"18,206",Vivint Arena,
2022-10-19,10:00p,Dallas Mavericks,105,Phoenix Suns,107,https://www.basketball-reference.com//boxscores/202210190PHO.html,,"17,071",Footprint Center,
2022-10-19,10:00p,Portland Trail Blazers,115,Sacramento Kings,108,https://www.basketball-reference.com//boxscores/202210190SAC.html,,"17,611",Golden 1 Center,
2022-10-20,7:30p,Milwaukee Bucks,90,Philadelphia 76ers,88,https://www.basketball-reference.com//boxscores/202210200PHI.html,,"20,060",Wells Fargo Center,
2022-10-20,10:00p,Los Angeles Clippers,103,Los Angeles Lakers,97,https://www.basketball-reference.com//boxscores/202210200LAL.html,,"18,997",Crypto.com Arena,
2022-10-21,7:00p,New Orleans Pelicans,124,Charlotte Hornets,112,https://www.basketball-reference.com//boxscores/202210210CHO.html,,"19,287",Spectrum Center,
2022-10-21,7:00p,San Antonio Spurs,137,Indiana Pacers,134,https://www.basketball-reference.com//boxscores/202210210IND.html,,"12,073",Gainbridge Fieldhouse,
2022-10-21,7:00p,Chicago Bulls,100,Washington Wizards,102,https://www.basketball-reference.com//boxscores/202210210WAS.html,,"20,476",Capital One Arena,
2022-10-21,7:30p,Orlando Magic,98,Atlanta Hawks,108,https://www.basketball-reference.com//boxscores/202210210ATL.html,,"17,822",State Farm Arena,
2022-10-21,7:30p,Toronto Raptors,105,Brooklyn Nets,109,https://www.basketball-reference.com//boxscores/202210210BRK.html,,"17,732",Barclays Center,
2022-10-21,7:30p,Boston Celtics,111,Miami Heat,104,https://www.basketball-reference.com//boxscores/202210210MIA.html,,"19,600",Kaseya Center,
2022-10-21,7:30p,Detroit Pistons,106,New York Knicks,130,https://www.basketball-reference.com//boxscores/202210210NYK.html,,"19,812",Madison Square Garden (IV),
2022-10-21,8:00p,Memphis Grizzlies,129,Houston Rockets,122,https://www.basketball-reference.com//boxscores/202210210HOU.html,,"18,055",Toyota Center,
2022-10-21,8:00p,Utah Jazz,132,Minnesota Timberwolves,126,https://www.basketball-reference.com//boxscores/202210210MIN.html,OT,"17,136",Target Center,
2022-10-21,10:00p,Denver Nuggets,128,Golden State Warriors,123,https://www.basketball-reference.com//boxscores/202210210GSW.html,,"18,064",Chase Center,
2022-10-21,10:00p,Phoenix Suns,111,Portland Trail Blazers,113,https://www.basketball-reference.com//boxscores/202210210POR.html,OT,"19,393",Moda Center,
2022-10-22,6:00p,San Antonio Spurs,114,Philadelphia 76ers,105,https://www.basketball-reference.com//boxscores/202210220PHI.html,,"19,822",Wells Fargo Center,
2022-10-22,7:00p,Detroit Pistons,115,Indiana Pacers,124,https://www.basketball-reference.com//boxscores/202210220IND.html,,"16,056",Gainbridge Fieldhouse,
2022-10-22,7:00p,Boston Celtics,126,Orlando Magic,120,https://www.basketball-reference.com//boxscores/202210220ORL.html,,"19,299",Amway Center,
2022-10-22,8:00p,Cleveland Cavaliers,128,Chicago Bulls,96,https://www.basketball-reference.com//boxscores/202210220CHI.html,,"21,089",United Center,
2022-10-22,8:00p,Toronto Raptors,109,Miami Heat,112,https://www.basketball-reference.com//boxscores/202210220MIA.html,,"19,600",Kaseya Center,
2022-10-22,8:00p,Houston Rockets,105,Milwaukee Bucks,125,https://www.basketball-reference.com//boxscores/202210220MIL.html,,"17,341",Fiserv Forum,
2022-10-22,8:30p,Memphis Grizzlies,96,Dallas Mavericks,137,https://www.basketball-reference.com//boxscores/202210220DAL.html,,"20,377",American Airlines Center,
2022-10-22,9:00p,Oklahoma City Thunder,117,Denver Nuggets,122,https://www.basketball-reference.com//boxscores/202210220DEN.html,,"19,983",Ball Arena,
2022-10-22,10:00p,Los Angeles Clippers,111,Sacramento Kings,109,https://www.basketball-reference.com//boxscores/202210220SAC.html,,"16,296",Golden 1 Center,
2022-10-23,3:30p,Portland Trail Blazers,106,Los Angeles Lakers,104,https://www.basketball-reference.com//boxscores/202210230LAL.html,,"18,997",Crypto.com Arena,
2022-10-23,5:00p,Charlotte Hornets,126,Atlanta Hawks,109,https://www.basketball-reference.com//boxscores/202210230ATL.html,,"17,383",State Farm Arena,
2022-10-23,7:00p,Washington Wizards,107,Cleveland Cavaliers,117,https://www.basketball-reference.com//boxscores/202210230CLE.html,OT,"19,432",Rocket Mortgage Fieldhouse,
2022-10-23,7:00p,Utah Jazz,122,New Orleans Pelicans,121,https://www.basketball-reference.com//boxscores/202210230NOP.html,OT,"18,665",Smoothie King Center,
2022-10-23,8:00p,Minnesota Timberwolves,116,Oklahoma City Thunder,106,https://www.basketball-reference.com//boxscores/202210230OKC.html,,"15,044",Paycom Center,
2022-10-23,8:30p,Sacramento Kings,125,Golden State Warriors,130,https://www.basketball-reference.com//boxscores/202210230GSW.html,,"18,064",Chase Center,
2022-10-23,10:00p,Phoenix Suns,112,Los Angeles Clippers,95,https://www.basketball-reference.com//boxscores/202210230LAC.html,,"19,068",Crypto.com Arena,
2022-10-24,7:00p,Indiana Pacers,106,Philadelphia 76ers,120,https://www.basketball-reference.com//boxscores/202210240PHI.html,,"19,786",Wells Fargo Center,
2022-10-24,7:30p,Toronto Raptors,98,Miami Heat,90,https://www.basketball-reference.com//boxscores/202210240MIA.html,,"19,600",Kaseya Center,
2022-10-24,7:30p,Orlando Magic,102,New York Knicks,115,https://www.basketball-reference.com//boxscores/202210240NYK.html,,"18,800",Madison Square Garden (IV),
2022-10-24,8:00p,Boston Celtics,102,Chicago Bulls,120,https://www.basketball-reference.com//boxscores/202210240CHI.html,,"17,673",United Center,
2022-10-24,8:00p,Utah Jazz,108,Houston Rockets,114,https://www.basketball-reference.com//boxscores/202210240HOU.html,,"16,260",Toyota Center,
2022-10-24,8:00p,Brooklyn Nets,124,Memphis Grizzlies,134,https://www.basketball-reference.com//boxscores/202210240MEM.html,,"17,392",FedEx Forum,
2022-10-24,8:00p,San Antonio Spurs,115,Minnesota Timberwolves,106,https://www.basketball-reference.com//boxscores/202210240MIN.html,,"15,347",Target Center,
2022-10-24,10:00p,Denver Nuggets,110,Portland Trail Blazers,135,https://www.basketball-reference.com//boxscores/202210240POR.html,,"18,111",Moda Center,
2022-10-25,7:00p,Detroit Pistons,99,Washington Wizards,120,https://www.basketball-reference.com//boxscores/202210250WAS.html,,"13,196",Capital One Arena,
2022-10-25,7:30p,Dallas Mavericks,111,New Orleans Pelicans,113,https://www.basketball-reference.com//boxscores/202210250NOP.html,,"14,020",Smoothie King Center,
2022-10-25,8:00p,Los Angeles Clippers,94,Oklahoma City Thunder,108,https://www.basketball-reference.com//boxscores/202210250OKC.html,,"13,105",Paycom Center,
2022-10-25,10:00p,Golden State Warriors,105,Phoenix Suns,134,https://www.basketball-reference.com//boxscores/202210250PHO.html,,"17,071",Footprint Center,
2022-10-26,7:00p,Orlando Magic,92,Cleveland Cavaliers,103,https://www.basketball-reference.com//boxscores/202210260CLE.html,,0,Rocket Mortgage Fieldhouse,
2022-10-26,7:00p,Atlanta Hawks,118,Detroit Pistons,113,https://www.basketball-reference.com//boxscores/202210260DET.html,,"17,987",Little Caesars Arena,
2022-10-26,7:30p,Brooklyn Nets,99,Milwaukee Bucks,110,https://www.basketball-reference.com//boxscores/202210260MIL.html,,"17,341",Fiserv Forum,
2022-10-26,7:30p,Charlotte Hornets,131,New York Knicks,134,https://www.basketball-reference.com//boxscores/202210260NYK.html,OT,"19,812",Madison Square Garden (IV),
2022-10-26,7:30p,Philadelphia 76ers,109,Toronto Raptors,119,https://www.basketball-reference.com//boxscores/202210260TOR.html,,"19,800",Scotiabank Arena,
2022-10-26,8:00p,Indiana Pacers,109,Chicago Bulls,124,https://www.basketball-reference.com//boxscores/202210260CHI.html,,"18,306",United Center,
2022-10-26,8:00p,San Antonio Spurs,122,Minnesota Timberwolves,134,https://www.basketball-reference.com//boxscores/202210260MIN.html,,"16,165",Target Center,
2022-10-26,9:00p,Houston Rockets,101,Utah Jazz,109,https://www.basketball-reference.com//boxscores/202210260UTA.html,,"18,206",Vivint Arena,
2022-10-26,10:00p,Los Angeles Lakers,99,Denver Nuggets,110,https://www.basketball-reference.com//boxscores/202210260DEN.html,,"19,520",Ball Arena,
2022-10-26,10:00p,Miami Heat,119,Portland Trail Blazers,98,https://www.basketball-reference.com//boxscores/202210260POR.html,,"18,588",Moda Center,
2022-10-27,7:30p,Dallas Mavericks,129,Brooklyn Nets,125,https://www.basketball-reference.com//boxscores/202210270BRK.html,OT,"18,039",Barclays Center,
2022-10-27,8:00p,Los Angeles Clippers,110,Oklahoma City Thunder,118,https://www.basketball-reference.com//boxscores/202210270OKC.html,,"14,510",Paycom Center,
2022-10-27,10:00p,Miami Heat,110,Golden State Warriors,123,https://www.basketball-reference.com//boxscores/202210270GSW.html,,"18,064",Chase Center,
2022-10-27,10:00p,Memphis Grizzlies,125,Sacramento Kings,110,https://www.basketball-reference.com//boxscores/202210270SAC.html,,"15,511",Golden 1 Center,
2022-10-28,7:00p,Atlanta Hawks,136,Detroit Pistons,112,https://www.basketball-reference.com//boxscores/202210280DET.html,,"18,923",Little Caesars Arena,
2022-10-28,7:00p,Charlotte Hornets,93,Orlando Magic,113,https://www.basketball-reference.com//boxscores/202210280ORL.html,,"18,846",Amway Center,
2022-10-28,7:30p,Cleveland Cavaliers,132,Boston Celtics,123,https://www.basketball-reference.com//boxscores/202210280BOS.html,OT,"19,156",TD Garden,
2022-10-28,7:30p,Philadelphia 76ers,112,Toronto Raptors,90,https://www.basketball-reference.com//boxscores/202210280TOR.html,,"19,800",Scotiabank Arena,
2022-10-28,7:30p,Indiana Pacers,127,Washington Wizards,117,https://www.basketball-reference.com//boxscores/202210280WAS.html,,"13,463",Capital One Arena,
2022-10-28,8:00p,New York Knicks,108,Milwaukee Bucks,119,https://www.basketball-reference.com//boxscores/202210280MIL.html,,"17,341",Fiserv Forum,
2022-10-28,8:00p,Los Angeles Lakers,102,Minnesota Timberwolves,111,https://www.basketball-reference.com//boxscores/202210280MIN.html,,"17,136",Target Center,
2022-10-28,8:30p,Chicago Bulls,124,San Antonio Spurs,129,https://www.basketball-reference.com//boxscores/202210280SAS.html,,"16,562",AT&T Center,
2022-10-28,9:00p,Utah Jazz,101,Denver Nuggets,117,https://www.basketball-reference.com//boxscores/202210280DEN.html,,"19,560",Ball Arena,
2022-10-28,10:00p,New Orleans Pelicans,111,Phoenix Suns,124,https://www.basketball-reference.com//boxscores/202210280PHO.html,,"17,071",Footprint Center,
