,Date,Start Time (ET),Visitor,Visitor Points,Home,Home Points,Box Score,Overtime,Attendance,Arena,Notes
0,"Tue, Oct 30, 2012",7:00p,Washington Wizards,84,Cleveland Cavaliers,94,https://www.basketball-reference.com//boxscores/201210300CLE.html,,"20,562",Quicken Loans Arena,
1,"Tue, Oct 30, 2012",8:00p,Boston Celtics,107,Miami Heat,120,https://www.basketball-reference.com//boxscores/201210300MIA.html,,"20,296",AmericanAirlines Arena,
2,"Tue, Oct 30, 2012",10:30p,Dallas Mavericks,99,Los Angeles Lakers,91,https://www.basketball-reference.com//boxscores/201210300LAL.html,,"18,997",STAPLES Center,
3,"Wed, Oct 31, 2012",7:00p,Denver Nuggets,75,Philadelphia 76ers,84,https://www.basketball-reference.com//boxscores/201210310PHI.html,,"19,101",Wells Fargo Center,
4,"Wed, Oct 31, 2012",7:00p,Indiana Pacers,90,Toronto Raptors,88,https://www.basketball-reference.com//boxscores/201210310TOR.html,,"19,800",Air Canada Centre,
5,"Wed, Oct 31, 2012",7:30p,Houston Rockets,105,Detroit Pistons,96,https://www.basketball-reference.com//boxscores/201210310DET.html,,"16,646",The Palace of Auburn Hills,
6,"Wed, Oct 31, 2012",8:00p,Sacramento Kings,87,Chicago Bulls,93,https://www.basketball-reference.com//boxscores/201210310CHI.html,,"21,313",United Center,
7,"Wed, Oct 31, 2012",8:00p,San Antonio Spurs,99,New Orleans Hornets,95,https://www.basketball-reference.com//boxscores/201210310NOH.html,,"15,358",New Orleans Arena,
8,"Wed, Oct 31, 2012",9:00p,Dallas Mavericks,94,Utah Jazz,113,https://www.basketball-reference.com//boxscores/201210310UTA.html,,"17,634",EnergySolutions Arena,
9,"Wed, Oct 31, 2012",10:00p,Golden State Warriors,87,Phoenix Suns,85,https://www.basketball-reference.com//boxscores/201210310PHO.html,,"15,678",US Airways Center,
10,"Wed, Oct 31, 2012",10:30p,Memphis Grizzlies,92,Los Angeles Clippers,101,https://www.basketball-reference.com//boxscores/201210310LAC.html,,"19,060",STAPLES Center,
11,"Wed, Oct 31, 2012",10:30p,Los Angeles Lakers,106,Portland Trail Blazers,116,https://www.basketball-reference.com//boxscores/201210310POR.html,,"20,401",Rose Garden Arena,
0,"Thu, Nov 1, 2012",9:30p,Oklahoma City Thunder,84,San Antonio Spurs,86,https://www.basketball-reference.com//boxscores/201211010SAS.html,,"18,581",AT&T Center,
1,"Fri, Nov 2, 2012",7:00p,Indiana Pacers,89,Charlotte Bobcats,90,https://www.basketball-reference.com//boxscores/201211020CHA.html,,"19,124",Time Warner Cable Arena,
2,"Fri, Nov 2, 2012",7:00p,Denver Nuggets,89,Orlando Magic,102,https://www.basketball-reference.com//boxscores/201211020ORL.html,,"18,846",Amway Center,
3,"Fri, Nov 2, 2012",7:30p,Houston Rockets,109,Atlanta Hawks,102,https://www.basketball-reference.com//boxscores/201211020ATL.html,,"18,238",Philips Arena,
4,"Fri, Nov 2, 2012",7:30p,Milwaukee Bucks,99,Boston Celtics,88,https://www.basketball-reference.com//boxscores/201211020BOS.html,,"18,624",TD Garden,
5,"Fri, Nov 2, 2012",7:30p,Chicago Bulls,115,Cleveland Cavaliers,86,https://www.basketball-reference.com//boxscores/201211020CLE.html,,"20,562",Quicken Loans Arena,
6,"Fri, Nov 2, 2012",8:00p,Sacramento Kings,80,Minnesota Timberwolves,92,https://www.basketball-reference.com//boxscores/201211020MIN.html,,"19,356",Target Center,
7,"Fri, Nov 2, 2012",8:00p,Utah Jazz,86,New Orleans Hornets,88,https://www.basketball-reference.com//boxscores/201211020NOH.html,,"14,147",New Orleans Arena,
8,"Fri, Nov 2, 2012",8:00p,Miami Heat,84,New York Knicks,104,https://www.basketball-reference.com//boxscores/201211020NYK.html,,"19,033",Madison Square Garden (IV),
9,"Fri, Nov 2, 2012",8:00p,Portland Trail Blazers,92,Oklahoma City Thunder,106,https://www.basketball-reference.com//boxscores/201211020OKC.html,,"18,203",Chesapeake Energy Arena,
10,"Fri, Nov 2, 2012",10:00p,Detroit Pistons,89,Phoenix Suns,92,https://www.basketball-reference.com//boxscores/201211020PHO.html,,"15,107",US Airways Center,
11,"Fri, Nov 2, 2012",10:30p,Memphis Grizzlies,104,Golden State Warriors,94,https://www.basketball-reference.com//boxscores/201211020GSW.html,,"19,596",Oracle Arena,
12,"Fri, Nov 2, 2012",10:30p,Los Angeles Clippers,105,Los Angeles Lakers,95,https://www.basketball-reference.com//boxscores/201211020LAL.html,,"18,997",STAPLES Center,
13,"Sat, Nov 3, 2012",7:00p,Sacramento Kings,98,Indiana Pacers,106,https://www.basketball-reference.com//boxscores/201211030IND.html,2OT,"18,165",Bankers Life Fieldhouse,
14,"Sat, Nov 3, 2012",7:00p,Boston Celtics,89,Washington Wizards,86,https://www.basketball-reference.com//boxscores/201211030WAS.html,,"20,308",Verizon Center,
15,"Sat, Nov 3, 2012",7:30p,Toronto Raptors,100,Brooklyn Nets,107,https://www.basketball-reference.com//boxscores/201211030BRK.html,,"17,732",Barclays Center,
16,"Sat, Nov 3, 2012",7:30p,Denver Nuggets,116,Miami Heat,119,https://www.basketball-reference.com//boxscores/201211030MIA.html,,"20,104",AmericanAirlines Arena,
